  id   |       name       |                                                                                            description                                                                                            |                 uuid                 |   device_type   | active | user_extra_id |     start_timestamp
  2751 | camera           | camera                                                                                                                                                                                            | 301                                  | CAMERA_FITNESS  | t      |          2201 | 2020-09-23 08:57:31.312
 12010 | Sensoria-C1-EA12 | {"deviceCode":"EA12","highThreshold":2303.9,"lowThreshold":2302.8,"active":true,"description":"","deviceId":12010,"deviceName":"Sensoria-C1-EA12","deviceUUID":"D9:C9:7C:99:ED:66"}               | D9:C9:7C:99:ED:66                    | SHOE            | t      |         11754 |
  2452 | insole           | shoe                                                                                                                                                                                              | 202                                  | SHOE            | t      |          1151 | 2021-06-30 21:29:10.974
  5208 | asl22            | asl22                                                                                                                                                                                             | 352413080065377                      | WATCH           | t      |          1151 | 2021-06-09 12:32:23.781
  5209 | asl23            | asl23                                                                                                                                                                                             | 352413080065450                      | WATCH           | t      |          1151 | 2021-06-09 12:37:33.895
  2851 | watch111         | watch                                                                                                                                                                                             | 452413080064321                      | WATCH           | t      |          1151 | 2021-02-12 11:45:42.363
  2951 | watch100         | watch100                                                                                                                                                                                          | 452413080066234                      | WATCH           | t      |          2201 | 2021-01-20 22:14:49.823
  4551 | watch01          | desc                                                                                                                                                                                              | 352413080067563                      | WATCH           | t      |          1151 | 2021-03-04 09:29:25.457
 12203 | fitbit6          | fitbit6                                                                                                                                                                                           | fit6                                 | FITBIT_WATCH    | t      |         11756 | 2021-11-05 15:01:42.85
  7602 | CMD Watch        |                                                                                                                                                                                                   | 123456789                            | WATCH           | t      |          5064 | 2021-08-18 08:17:04.289
  4553 | cmd1             | desc                                                                                                                                                                                              | 352413080063513                      | WATCH           | t      |          5056 | 2021-05-13 13:05:24.534
  4552 | cmd2             | desc                                                                                                                                                                                              | 352413080064164                      | WATCH           | t      |          5057 | 2021-05-13 13:24:26.755
 12204 | fitbit7          | fitbit7                                                                                                                                                                                           | fit7                                 | FITBIT_WATCH    | t      |         11757 | 2021-11-05 15:01:46.267
 12012 | Sensoria-C1-F45E | {"deviceCode":"F45E","highThreshold":2185.4,"lowThreshold":2180.8,"active":true,"description":"","deviceId":12012,"deviceName":"Sensoria-C1-F45E","deviceUUID":"D5:AE:CC:1C:63:5C"}               | D5:AE:CC:1C:63:5C                    | SHOE            | t      |         11755 |
 12206 | survey9          | survey9                                                                                                                                                                                           | s9                                   | SURVEY          | t      |         11759 | 2021-11-05 15:17:03.355
 12207 | survey8          | survey8                                                                                                                                                                                           | s8                                   | SURVEY          | t      |         11758 | 2021-11-05 15:17:19.193
 12208 | fitbit9          | fitbit9                                                                                                                                                                                           | f9                                   | FITBIT_WATCH    | t      |         11759 | 2021-11-05 15:17:33.375
 12209 | fitbit8          | fitbit8                                                                                                                                                                                           | fit8                                 | FITBIT_WATCH    | t      |         11758 | 2021-11-05 15:17:57.31
 12211 | fitbit10         | fitbit10                                                                                                                                                                                          | fit10                                | FITBIT_WATCH    | t      |         11760 | 2021-11-05 15:33:47.251
 12213 | fitbit11         | fitbit11                                                                                                                                                                                          | fit11                                | FITBIT_WATCH    | t      |         11761 | 2021-11-05 15:37:24.783
 12215 | fitbit13         | fitbit13                                                                                                                                                                                          | fit13                                | FITBIT_WATCH    | t      |         11763 | 2021-11-05 15:40:53.114
 12216 | CMD watch        |                                                                                                                                                                                                   | 352413080065757                      | WATCH           | t      |          5063 | 2021-11-09 08:43:16.148
 12855 | Survey device    | Add description...                                                                                                                                                                                | cb5936a8-822d-4747-9ef0-873193336a9d | SURVEY          | t      |          6552 | 2021-11-24 15:03:55.411
 12860 | Survey device    | Add description...                                                                                                                                                                                | 856878de-ac34-42c2-b7d7-9bf179e33bc7 | SURVEY          | t      |         12805 | 2021-12-01 07:14:40.954
 12861 | Fitbit device    | Not connected to fitbit watch!                                                                                                                                                                    | n/a                                  | FITBIT_WATCH    | f      |         12805 | 2021-12-01 07:14:40.96
  5206 | Sensoria-C1-C43B | {"active":true,"deviceCode":"C43B","deviceId":5206,"deviceMac":"F3:C8:2A:9B:B9:52","deviceName":"Sensoria-C1-C43B","highThreshold":1389.0,"lowThreshold":1371.0}                                  | _F3:C8:2A:9B:B9:52                   | SHOE            | t      |          2201 |
 12864 | Survey device    | Add description...                                                                                                                                                                                | 6d21494c-ef51-4af0-9f35-3dc5aaa9555c | SURVEY          | t      |         12807 | 2021-12-07 10:00:44.044
 12865 | Fitbit device    | Not connected to fitbit watch!                                                                                                                                                                    | n/a                                  | FITBIT_WATCH    | f      |         12807 | 2021-12-07 10:00:44.046
  7951 | Survey device    | Add description...                                                                                                                                                                                | bfc2ef10-d62b-430c-83b4-db9e84750182 | SURVEY          | t      |          1002 | 2021-08-30 20:23:54.565
  5951 | Device1          | Desc1                                                                                                                                                                                             | 60b15b52-c2d1-11eb-8529-0242ac130003 | SHOE            | t      |          5901 | 2021-07-06 12:37:26.832
 11588 | shoe_mbwl        | shoe_mbwl                                                                                                                                                                                         | 1234567890                           | SHOE            | t      |          1002 | 2021-10-07 20:07:30.372
  5651 | Sensoria-C1-C43B | {"deviceCode":"C43B","deviceMac":"F3:C8:2A:9B:B9:52","highThreshold":1583.7,"lowThreshold":1580.4,"active":true,"deviceId":5651,"deviceName":"Sensoria-C1-C43B","deviceUUID":"F3:C8:2A:9B:B9:52"} | F3:C8:2A:9B:B9:52                    | SHOE            | t      |          3102 |
  7958 | Survey device    | Add description...                                                                                                                                                                                | 2004a1ff-8056-4ca7-8cfa-6055a0c33ac0 | SURVEY          | t      |          4755 | 2021-09-23 08:29:17.845
 11565 | Survey device    | Add description...                                                                                                                                                                                | 79180a0d-e034-4434-bda2-edf67f9caff3 | SURVEY          | t      |         11755 | 2021-10-05 09:15:43.425
 11551 | survey           | all survey                                                                                                                                                                                        | s1                                   | SURVEY          | t      |          3102 | 2021-09-27 06:25:01.426
 11560 | fitbit           | watch                                                                                                                                                                                             | fb1                                  | FITBIT_WATCH    | t      |          3102 | 2021-10-05 08:09:53.99
 11574 | Survey device    | Add description...                                                                                                                                                                                | c562bccc-b5f1-4aad-bbba-8ae703ce12d0 | SURVEY          | t      |         11764 | 2021-10-05 09:18:13.549
 11575 | Survey device    | Add description...                                                                                                                                                                                | ec32827e-e59f-4fc3-bf2e-089dd19a82b0 | SURVEY          | t      |         11765 | 2021-10-05 09:18:28.695
 11576 | Survey device    | Add description...                                                                                                                                                                                | 70c046e6-3407-464b-a8c8-5d01274bef9a | SURVEY          | t      |         11766 | 2021-10-05 09:18:42.231
 11577 | Survey device    | Add description...                                                                                                                                                                                | 7252352a-0fb5-459c-b9ea-652f963ecfff | SURVEY          | t      |         11767 | 2021-10-05 09:18:55.088
 11578 | Survey device    | Add description...                                                                                                                                                                                | 8c24af5e-c6a0-472b-af97-f6af3f931b88 | SURVEY          | t      |         11768 | 2021-10-05 09:19:11.905
 11579 | Survey device    | Add description...                                                                                                                                                                                | 72e33283-9eb1-4f62-a7d7-c6820409462b | SURVEY          | t      |         11769 | 2021-10-05 09:19:24.972
 11580 | Survey device    | Add description...                                                                                                                                                                                | a3ad4eaa-11ee-4e0d-b87f-b531e81a810d | SURVEY          | t      |         11770 | 2021-10-05 09:19:42.82
  6601 | FitBit Ionic     |                                                                                                                                                                                                   | 1859299886                           | FITBIT_WATCH    | f      |          5063 |
 11587 | Survey device    | Add description...                                                                                                                                                                                | c8e0c547-4da6-481f-b6d4-b92c412ad21a | SURVEY          | t      |         11771 | 2021-10-07 08:34:21.518
 11589 | Survey device    | Add description...                                                                                                                                                                                | 3192ebb7-0246-40ee-9db0-ac9af16eed8e | SURVEY          | t      |         11772 | 2021-10-08 13:18:50.144
 12005 | survey           |                                                                                                                                                                                                   | survey1                              | SURVEY          | t      |         11754 | 2021-10-23 10:41:24.21
 12006 | fitbit           |                                                                                                                                                                                                   | fitbit1                              | FITBIT_WATCH    | t      |         11754 | 2021-10-23 10:41:49.069
 11600 | fitbit           |                                                                                                                                                                                                   | fitbit1                              | FITBIT_WATCH    | t      |         11751 | 2021-10-23 08:13:34.534
 12008 | Sensoria-C1-1FD5 | {"deviceCode":"1FD5","highThreshold":2369.6,"lowThreshold":2366.2,"active":true,"description":"","deviceId":12008,"deviceName":"Sensoria-C1-1FD5","deviceUUID":"D0:84:C0:FD:DE:50"}               | D0:84:C0:FD:DE:50                    | SHOE            | t      |         11752 |
 12011 | fitbit           |                                                                                                                                                                                                   | fitbit1                              | FITBIT_WATCH    | t      |         11755 | 2021-10-23 11:55:17.369
 12201 | survey6          | survey6                                                                                                                                                                                           | s6                                   | SURVEY          | t      |         11756 | 2021-11-05 14:55:22.267
 11598 | Survey device    | Add description...                                                                                                                                                                                | 39477d23-fbf8-4272-9ec3-e86f077117e5 | SURVEY          | t      |          5063 | 2021-10-13 10:33:32.838
 12202 | survey7          | survey7                                                                                                                                                                                           | s7                                   | SURVEY          | t      |         11757 | 2021-11-05 14:55:24.16
 11599 | survey           |                                                                                                                                                                                                   | survey1                              | SURVEY          | t      |         11751 | 2021-10-23 08:11:29.123
 12001 | survey           |                                                                                                                                                                                                   | survey1                              | SURVEY          | t      |         11752 | 2021-10-23 09:05:58.239
 12002 | fitbit           |                                                                                                                                                                                                   | fitbit1                              | FITBIT_WATCH    | t      |         11752 | 2021-10-23 09:06:18.815
 12003 | survey           |                                                                                                                                                                                                   | survey1                              | SURVEY          | t      |         11753 | 2021-10-23 09:53:58.174
 12205 | Sensoria-C1-5E52 | {"deviceCode":"5E52","highThreshold":2230.7,"lowThreshold":2223.4,"active":false,"description":"","deviceId":12205,"deviceName":"Sensoria-C1-5E52","deviceUUID":"EF:18:D6:07:BA:37"}              | EF:18:D6:07:BA:37                    | SHOE            | f      |         11756 |
 12210 | survey10         | survey10                                                                                                                                                                                          | s10                                  | SURVEY          | t      |         11760 | 2021-11-05 15:33:17.051
 12212 | survey11         | survey11                                                                                                                                                                                          | s11                                  | SURVEY          | t      |         11761 | 2021-11-05 15:37:00.863
 12214 | survey13         | survey13                                                                                                                                                                                          | f13                                  | SURVEY          | t      |         11763 | 2021-11-05 15:40:16.303
 12851 | Survey device    | Add description...                                                                                                                                                                                | db637dda-d77f-41a3-994b-18b5f23d0955 | SURVEY          | t      |         12801 | 2021-11-19 16:42:01.719
 12852 | Fitbit device    | Not connected to fitbit watch!                                                                                                                                                                    | n/a                                  | FITBIT_WATCH    | f      |         12801 | 2021-11-19 16:42:01.728
 12854 | Fitbit device    | Not connected to fitbit watch!                                                                                                                                                                    | n/a                                  | FITBIT_WATCH    | f      |         12802 | 2021-11-23 22:19:26.79
 12853 | Survey device    | Ankieta Tadeusz Piorun                                                                                                                                                                            | ff17383b-390e-48ec-be26-e8d12b7722a6 | SURVEY          | t      |         12802 | 2021-11-23 22:19:26.784
 12856 | Survey device    | Add description...                                                                                                                                                                                | 758f554d-bbde-44e2-943b-8a3ad19d0e34 | SURVEY          | t      |         12803 | 2021-12-01 06:59:38.223
 12857 | Fitbit device    | Not connected to fitbit watch!                                                                                                                                                                    | n/a                                  | FITBIT_WATCH    | f      |         12803 | 2021-12-01 06:59:38.229
 12858 | Survey device    | Add description...                                                                                                                                                                                | f82335ee-9f01-4cdc-8739-726ddd630657 | SURVEY          | t      |         12804 | 2021-12-01 07:01:15.483
 12859 | Fitbit device    | Not connected to fitbit watch!                                                                                                                                                                    | n/a                                  | FITBIT_WATCH    | f      |         12804 | 2021-12-01 07:01:15.487
 11597 | Sensoria-C1-7293 | {"deviceCode":"7293","highThreshold":3068.4,"lowThreshold":3067.8,"active":true,"description":"","deviceId":11597,"deviceName":"Sensoria-C1-7293","deviceUUID":"DB:BE:15:C2:6A:C0"}               | DB:BE:15:C2:6A:C0                    | SHOE            | t      |          5063 |
 12862 | Survey device    | Add description...                                                                                                                                                                                | cd2a4a2d-cea3-4cb5-8eeb-66b527fc257d | SURVEY          | t      |         12806 | 2021-12-07 09:13:51.468
 12863 | Fitbit device    | Not connected to fitbit watch!                                                                                                                                                                    | n/a                                  | FITBIT_WATCH    | f      |         12806 | 2021-12-07 09:13:51.472
