,id,device_id,_id,_xt,ei,si,dt,s,c_??,c_ei,c_si,c_?!,c_d1,c_t1,c_n1,c_l1,c_m1,c_N1,c_E1,c_p1,c_p2,c_m2,c_!?,c_n2,c_n3,c_d2,c_t2,c_N2,c_E2,c_n4,c_n5,c_!!,c_00,c_0,c_L1,c_L2,c_en,y,m,d,p
19,64524,4552,60a5d2eeb8162d6c4fd1686e,1621480174658,352413080064164,9226101112454759,2021-05-20T03:09:34.658Z,::ffff:109.166.139.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
20,64525,4552,60a5d59cb8162d6c4fd16880,1621480860955,352413080064164,9226101112454759,2021-05-20T03:21:00.955Z,::ffff:109.166.139.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
21,64526,4552,60a5db42b8162d6c4fd1688e,1621482306182,352413080064164,9226101112454759,2021-05-20T03:45:06.182Z,::ffff:185.53.198.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
22,64527,4552,60a5db52b8162d6c4fd16891,1621482322681,352413080064164,9226101112454759,2021-05-20T03:45:22.681Z,::ffff:185.53.198.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
23,64528,4552,60a5de08b8162d6c4fd16896,1621483016542,352413080064164,9226101112454759,2021-05-20T03:56:56.542Z,::ffff:109.166.137.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
24,64529,4552,60a5de36b8162d6c4fd1689b,1621483062832,352413080064164,9226101112454759,2021-05-20T03:57:42.832Z,::ffff:109.166.132.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
25,64530,4552,60a5e144b8162d6c4fd168a7,1621483844319,352413080064164,9226101112454759,2021-05-20T04:10:44.319Z,::ffff:37.251.221.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
26,64531,4552,60a5e6c5b8162d6c4fd168b1,1621485253277,352413080064164,9226101112454759,2021-05-20T04:34:13.277Z,::ffff:93.122.249.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
27,64532,4552,60a5e6d2b8162d6c4fd168b4,1621485266434,352413080064164,9226101112454759,2021-05-20T04:34:26.434Z,::ffff:93.122.249.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
28,64533,4552,60a5e806b8162d6c4fd168b6,1621485574579,352413080064164,9226101112454759,2021-05-20T04:39:34.579Z,::ffff:93.122.249.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
29,64534,4552,60a5e82ab8162d6c4fd168b8,1621485610277,352413080064164,9226101112454759,2021-05-20T04:40:10.277Z,::ffff:93.122.249.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
30,64535,4552,60a5e866b8162d6c4fd168bb,1621485670254,352413080064164,9226101112454759,2021-05-20T04:41:10.254Z,::ffff:93.122.249.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
31,64536,4552,60a5e8a2b8162d6c4fd168bc,1621485730434,352413080064164,9226101112454759,2021-05-20T04:42:10.434Z,::ffff:93.122.249.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
32,64537,4552,60a5e8f1b8162d6c4fd168be,1621485809276,352413080064164,9226101112454759,2021-05-20T04:43:29.276Z,::ffff:93.122.249.182,#@H02@#,352413080064164,9226101112454759,862182,2021-05-20,07:46:16,1,G,0,N44.457981,E26.075726,103.4,4.293,0,5100,8,1,2021-05-20,07:44:57,N44.458069,E26.075627,810,50,226@10@140@18121@26,0S44.23+26.01,,E26.075627,810,50,2021,5,20,H02
33,64538,4552,60a5e926b8162d6c4fd168c1,1621485862354,352413080064164,9226101112454759,2021-05-20T04:44:22.354Z,::ffff:93.122.249.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
34,64539,4552,60a5e95eb8162d6c4fd168c2,1621485918054,352413080064164,9226101112454759,2021-05-20T04:45:18.054Z,::ffff:93.122.249.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
35,64540,4552,60a5e99db8162d6c4fd168c4,1621485981534,352413080064164,9226101112454759,2021-05-20T04:46:21.534Z,::ffff:93.122.249.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
36,64541,4552,60a5ec68b8162d6c4fd168ca,1621486696919,352413080064164,9226101112454759,2021-05-20T04:58:16.919Z,::ffff:185.53.197.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
37,64542,4552,60a5ec69b8162d6c4fd168cc,1621486697418,352413080064164,9226101112454759,2021-05-20T04:58:17.418Z,::ffff:185.53.197.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
38,64543,4552,60a5ef60b8162d6c4fd168d6,1621487456742,352413080064164,9226101112454759,2021-05-20T05:10:56.742Z,::ffff:109.166.137.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
39,64544,4552,60a5ef73b8162d6c4fd168d9,1621487475359,352413080064164,9226101112454759,2021-05-20T05:11:15.359Z,::ffff:109.166.137.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
40,64545,4552,60a5f348b8162d6c4fd168e8,1621488456200,352413080064164,9226101112454759,2021-05-20T05:27:36.200Z,::ffff:109.166.137.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
41,64546,4552,60a6083fb8162d6c4fd16974,1621493823136,352413080064164,9226101112454759,2021-05-20T06:57:03.136Z,::ffff:109.166.133.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
42,64547,4552,60a6083fb8162d6c4fd16976,1621493823763,352413080064164,9226101112454759,2021-05-20T06:57:03.763Z,::ffff:109.166.133.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
43,64548,4552,60a60855b8162d6c4fd1697a,1621493845474,352413080064164,9226101112454759,2021-05-20T06:57:25.474Z,::ffff:109.166.133.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
44,64549,4552,60a60b2bb8162d6c4fd16981,1621494571115,352413080064164,9226101112454759,2021-05-20T07:09:31.115Z,::ffff:93.122.251.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
45,64550,4552,60a60b3eb8162d6c4fd16984,1621494590134,352413080064164,9226101112454759,2021-05-20T07:09:50.134Z,::ffff:93.122.251.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
46,64551,4552,60a60e764fce3476558f865f,1621495414655,352413080064164,9226101112454759,2021-05-20T07:23:34.655Z,::ffff:93.122.249.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
47,64552,4552,60a611254fce3476558f8664,1621496101596,352413080064164,9226101112454759,2021-05-20T07:35:01.596Z,::ffff:93.122.249.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
48,64553,4552,60a613ce4fce3476558f8667,1621496782955,352413080064164,9226101112454759,2021-05-20T07:46:22.955Z,::ffff:93.122.249.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
49,64554,4552,60a6151d4fce3476558f8669,1621497117173,352413080064164,9226101112454759,2021-05-20T07:51:57.173Z,::ffff:93.122.249.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
50,64555,4552,60a615404fce3476558f866b,1621497152476,352413080064164,9226101112454759,2021-05-20T07:52:32.476Z,::ffff:93.122.249.205,#@H02@#,352413080064164,9226101112454759,862182,2021-05-20,10:55:19,1,G,0,N44.458035,E26.075644,82.9,1.803,0,5089,7,1,2021-05-20,10:54:44,N44.458200,E26.075762,4668,50,226@10@140@16101@39,0S44.23+26.01,,E26.075762,4668,50,2021,5,20,H02
51,64556,4552,60a61d5d4fce3476558f8677,1621499229458,352413080064164,9226101112454759,2021-05-20T08:27:09.458Z,::ffff:109.166.139.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
52,64557,4552,60a620614fce3476558f8682,1621500001337,352413080064164,9226101112454759,2021-05-20T08:40:01.337Z,::ffff:109.166.133.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
53,64558,4552,60a6232d4fce3476558f8688,1621500717079,352413080064164,9226101112454759,2021-05-20T08:51:57.079Z,::ffff:109.166.136.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
54,64559,4552,60a6269d4fce3476558f869d,1621501597361,352413080064164,9226101112454759,2021-05-20T09:06:37.361Z,::ffff:109.166.139.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
55,64560,4552,60a635664fce3476558f8700,1621505382762,352413080064164,9226101112454759,2021-05-20T10:09:42.762Z,::ffff:109.166.136.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
56,64561,4552,60a6382e4fce3476558f8706,1621506094421,352413080064164,9226101112454759,2021-05-20T10:21:34.421Z,::ffff:37.251.223.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
57,64562,4552,60a63af74fce3476558f870c,1621506807635,352413080064164,9226101112454759,2021-05-20T10:33:27.635Z,::ffff:109.166.129.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
58,64563,4552,60a63dd74fce3476558f8714,1621507543675,352413080064164,9226101112454759,2021-05-20T10:45:43.675Z,::ffff:109.166.133.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
59,64564,4552,60a63ee24fce3476558f8716,1621507810696,352413080064164,9226101112454759,2021-05-20T10:50:10.696Z,::ffff:109.166.133.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
60,64565,4552,60a63f0f4fce3476558f8718,1621507855217,352413080064164,9226101112454759,2021-05-20T10:50:55.217Z,::ffff:109.166.133.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
61,64601,4552,60a655044fce3476558f87db,1621513476173,352413080064164,9226101112454759,2021-05-20T12:24:36.173Z,::ffff:109.166.133.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
62,64602,4552,60a655044fce3476558f87dd,1621513476653,352413080064164,9226101112454759,2021-05-20T12:24:36.653Z,::ffff:109.166.133.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
63,64603,4552,60a655104fce3476558f87e0,1621513488436,352413080064164,9226101112454759,2021-05-20T12:24:48.436Z,::ffff:109.166.133.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
64,64604,4552,60a658804fce3476558f87fc,1621514368456,352413080064164,9226101112454759,2021-05-20T12:39:28.456Z,::ffff:109.166.132.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
65,64605,4552,60a65b4c4fce3476558f880e,1621515084454,352413080064164,9226101112454759,2021-05-20T12:51:24.454Z,::ffff:109.166.134.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
66,64606,4552,60a65df94fce3476558f881a,1621515769394,352413080064164,9226101112454759,2021-05-20T13:02:49.394Z,::ffff:109.166.134.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
67,64607,4552,60a6666a4fce3476558f8841,1621517930556,352413080064164,9226101112454759,2021-05-20T13:38:50.556Z,::ffff:93.122.251.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
68,64608,4552,60a666774fce3476558f8844,1621517943078,352413080064164,9226101112454759,2021-05-20T13:39:03.078Z,::ffff:93.122.251.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
69,64609,4552,60a669414fce3476558f8856,1621518657595,352413080064164,9226101112454759,2021-05-20T13:50:57.595Z,::ffff:93.122.251.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
70,64610,4552,60a67cd74fce3476558f894b,1621523671235,352413080064164,9226101112454759,2021-05-20T15:14:31.235Z,::ffff:93.122.248.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
71,64611,4552,60a682c34fce3476558f8977,1621525187400,352413080064164,9226101112454759,2021-05-20T15:39:47.400Z,::ffff:185.53.196.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
72,64612,4552,60a685e84fce3476558f898d,1621525992757,352413080064164,9226101112454759,2021-05-20T15:53:12.757Z,::ffff:109.166.139.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
73,64613,4552,60a685e94fce3476558f898f,1621525993257,352413080064164,9226101112454759,2021-05-20T15:53:13.257Z,::ffff:109.166.139.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
74,64614,4552,60a689204fce3476558f89b2,1621526816295,352413080064164,9226101112454759,2021-05-20T16:06:56.295Z,::ffff:93.122.249.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
75,64615,4552,60a6892a4fce3476558f89b5,1621526826536,352413080064164,9226101112454759,2021-05-20T16:07:06.536Z,::ffff:93.122.249.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
76,64616,4552,60a68c0f4fce3476558f89ca,1621527567675,352413080064164,9226101112454759,2021-05-20T16:19:27.675Z,::ffff:37.251.221.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
77,64617,4552,60a690754fce3476558f8a05,1621528693793,352413080064164,9226101112454759,2021-05-20T16:38:13.793Z,::ffff:109.166.133.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
78,64618,4552,60a6960d4fce3476558f8a30,1621530125014,352413080064164,9226101112454759,2021-05-20T17:02:05.014Z,::ffff:93.122.249.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
79,64619,4552,60a69bf34fce3476558f8a64,1621531635259,352413080064164,9226101112454759,2021-05-20T17:27:15.259Z,::ffff:109.166.139.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
80,64620,4552,60a69bfd4fce3476558f8a68,1621531645520,352413080064164,9226101112454759,2021-05-20T17:27:25.520Z,::ffff:109.166.139.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
81,64621,4552,60a69f424fce3476558f8a90,1621532482433,352413080064164,9226101112454759,2021-05-20T17:41:22.433Z,::ffff:109.166.129.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
82,64622,4552,60a6a2044fce3476558f8a9a,1621533188332,352413080064164,9226101112454759,2021-05-20T17:53:08.332Z,::ffff:109.166.132.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
83,64623,4552,60a6ab274fce3476558f8aed,1621535527121,352413080064164,9226101112454759,2021-05-20T18:32:07.121Z,::ffff:185.53.196.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
84,64624,4552,60a6aebc4fce3476558f8b23,1621536444479,352413080064164,9226101112454759,2021-05-20T18:47:24.479Z,::ffff:109.166.136.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
85,64625,4552,60a6aecc4fce3476558f8b2a,1621536460320,352413080064164,9226101112454759,2021-05-20T18:47:40.320Z,::ffff:109.166.136.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
86,64626,4552,60a6b8104fce3476558f8b6f,1621538832518,352413080064164,9226101112454759,2021-05-20T19:27:12.518Z,::ffff:109.166.138.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
87,64627,4552,60a6bb714fce3476558f8b8e,1621539697580,352413080064164,9226101112454759,2021-05-20T19:41:37.580Z,::ffff:109.166.139.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
88,64628,4552,60a6cc744fce3476558f8c33,1621544052295,352413080064164,9226101112454759,2021-05-20T20:54:12.295Z,::ffff:93.122.249.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
89,64629,4552,60a6cfb54fce3476558f8c4c,1621544885558,352413080064164,9226101112454759,2021-05-20T21:08:05.558Z,::ffff:109.166.137.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
90,64630,4552,60a6d2ab4fce3476558f8c66,1621545643219,352413080064164,9226101112454759,2021-05-20T21:20:43.219Z,::ffff:109.166.136.158,#@H02@#,352413080064164,9226101112454759,862182,2021-05-21,00:23:29,1,G,0,N44.458078,E26.075688,91.2,2.049,0,2035,8,6,2021-05-21,00:10:52,N44.458147,E26.075604,0,50,226@10@140@16101@56,00,0,E26.075604,0,50,2021,5,20,H02
91,64631,4552,60a6d2c24fce3476558f8c69,1621545666918,352413080064164,9226101112454759,2021-05-20T21:21:06.918Z,::ffff:109.166.136.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
92,64632,4552,60a6d5cc4fce3476558f8c78,1621546444959,352413080064164,9226101112454759,2021-05-20T21:34:04.959Z,::ffff:109.166.136.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
93,64633,4552,60a6d8a94fce3476558f8c89,1621547177355,352413080064164,9226101112454759,2021-05-20T21:46:17.355Z,::ffff:109.166.133.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
94,64634,4552,60a6d8b94fce3476558f8c8b,1621547193516,352413080064164,9226101112454759,2021-05-20T21:46:33.516Z,::ffff:109.166.133.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
95,64635,4552,60a6db864fce3476558f8ca5,1621547910118,352413080064164,9226101112454759,2021-05-20T21:58:30.118Z,::ffff:185.53.197.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
96,64636,4552,60a6e3a94fce3476558f8d0f,1621549993421,352413080064164,9226101112454759,2021-05-20T22:33:13.421Z,::ffff:185.53.197.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
97,64637,4552,60a6e3c94fce3476558f8d18,1621550025282,352413080064164,9226101112454759,2021-05-20T22:33:45.282Z,::ffff:109.166.138.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
98,64638,4552,60a6e3e14fce3476558f8d1b,1621550049299,352413080064164,9226101112454759,2021-05-20T22:34:09.299Z,::ffff:109.166.138.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
99,64639,4552,60a6e7024fce3476558f8d2d,1621550850456,352413080064164,9226101112454759,2021-05-20T22:47:30.456Z,::ffff:93.122.251.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
100,64640,4552,60a6ea5b4fce3476558f8d45,1621551707181,352413080064164,9226101112454759,2021-05-20T23:01:47.181Z,::ffff:109.166.138.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
101,64641,4552,60a6ea6d4fce3476558f8d48,1621551725240,352413080064164,9226101112454759,2021-05-20T23:02:05.240Z,::ffff:109.166.138.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
102,64642,4552,60a6edf74fce3476558f8d6d,1621552631617,352413080064164,9226101112454759,2021-05-20T23:17:11.617Z,::ffff:93.122.250.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
103,64643,4552,60a6f19a4fce3476558f8d8e,1621553562519,352413080064164,9226101112454759,2021-05-20T23:32:42.519Z,::ffff:37.251.223.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,20,H02
104,64644,4552,60a6fe614fce3476558f8e16,1621556833000,352413080064164,9226101112454759,2021-05-21T00:27:13.000Z,::ffff:185.53.196.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
105,64645,4552,60a70d914fce3476558f8ebb,1621560721783,352413080064164,9226101112454759,2021-05-21T01:32:01.783Z,::ffff:185.53.198.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
106,64646,4552,60a726a54fce3476558f8fd1,1621567141376,352413080064164,9226101112454759,2021-05-21T03:19:01.376Z,::ffff:109.166.137.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
107,64647,4552,60a729524fce3476558f8fd9,1621567826377,352413080064164,9226101112454759,2021-05-21T03:30:26.377Z,::ffff:109.166.137.5,#@H02@#,352413080064164,9226101112454759,862182,2021-05-21,06:33:13,1,G,0,N44.458077,E26.075723,107.2,0.436,0,2040,9,6,2021-05-21,06:21:48,N44.458434,E26.075261,38,50,226@10@140@16101@56,00,0,E26.075261,38,50,2021,5,21,H02
108,64648,4552,60a72c1e4fce3476558f8fe6,1621568542456,352413080064164,9226101112454759,2021-05-21T03:42:22.456Z,::ffff:93.122.249.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
109,64649,4552,60a72ec54fce3476558f9002,1621569221317,352413080064164,9226101112454759,2021-05-21T03:53:41.317Z,::ffff:93.122.249.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
110,64650,4552,60a731944fce3476558f9037,1621569940357,352413080064164,9226101112454759,2021-05-21T04:05:40.357Z,::ffff:37.251.223.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
111,64651,4552,60a734594fce3476558f9046,1621570649257,352413080064164,9226101112454759,2021-05-21T04:17:29.257Z,::ffff:109.166.134.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
112,64652,4552,60a739c64fce3476558f9070,1621572038242,352413080064164,9226101112454759,2021-05-21T04:40:38.242Z,::ffff:185.53.197.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
113,64653,4552,60a73c924fce3476558f909a,1621572754374,352413080064164,9226101112454759,2021-05-21T04:52:34.374Z,::ffff:93.122.251.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
114,64654,4552,60a742204fce3476558f90bd,1621574176241,352413080064164,9226101112454759,2021-05-21T05:16:16.241Z,::ffff:109.166.138.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
115,64655,4552,60a744ce4fce3476558f90d9,1621574862400,352413080064164,9226101112454759,2021-05-21T05:27:42.400Z,::ffff:109.166.138.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
116,64656,4552,60a747784fce3476558f90df,1621575544361,352413080064164,9226101112454759,2021-05-21T05:39:04.361Z,::ffff:109.166.138.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,5,21,H02
