,id,device_id,_id,_xt,ei,si,dt,s,c,y,m,d,p
12,64790,4553,60ab552b4fce3476558f9edf,1621841195418,352413080063513,9226101112454760,2021-05-24T07:26:35.418Z,::ffff:93.122.249.204,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;10:29:42;1;G;0;N44.456210;E26.074690;-17.5;2.586;0;5100;4;6;2021-05-24;10:16:46;N44.456278;E26.074829;4;50;226@10@140@38121@59;00;0;;,2021,5,24,H02
13,64792,4553,60ab581f4fce3476558f9ef0,1621841951778,352413080063513,9226101112454760,2021-05-24T07:39:11.778Z,::ffff:93.122.250.220,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;10:42:17;1;G;0;N44.456302;E26.075161;105.4;1.512;0;5100;4;6;2021-05-24;10:29:42;N44.456210;E26.074690;4;50;0@0@0@0@0;00;0;D;,2021,5,24,H02
14,64793,4553,60ab58354fce3476558f9ef3,1621841973379,352413080063513,9226101112454760,2021-05-24T07:39:33.379Z,::ffff:93.122.250.220,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;10:42:40;1;G;0;N44.456248;E26.074981;74.8;1.566;0;5100;4;6;2021-05-24;10:42:16;N44.456302;E26.075161;4;50;226@10@140@38121@56;00;0;F;,2021,5,24,H02
15,64795,4553,60ab5b674fce3476558f9f12,1621842791659,352413080063513,9226101112454760,2021-05-24T07:53:11.659Z,::ffff:109.166.135.88,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;10:56:18;1;G;0;N44.456333;E26.075113;70.8;3.447;0;5100;5;6;2021-05-24;10:42:40;N44.456248;E26.074981;4;50;226@10@140@38121@54;00;0;C;,2021,5,24,H02
16,64796,4553,60ab5c974fce3476558f9f4b,1621843095301,352413080063513,9226101112454760,2021-05-24T07:58:15.301Z,::ffff:93.122.250.98,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;11:01:22;1;G;0;N44.456317;E26.075132;90.4;0.856;0;5100;5;6;2021-05-24;10:56:17;N44.456333;E26.075113;4;50;226@10@140@38121@55;00;0;V;,2021,5,24,H02
17,64800,4553,60ab60304fce3476558f9f6a,1621844016295,352413080063513,9226101112454760,2021-05-24T08:13:36.295Z,::ffff:37.251.220.190,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;11:16:43;1;G;0;N44.455937;E26.073657;85.7;2.391;0;5100;9;1;2021-05-24;11:01:21;N44.456317;E26.075132;427;50;226@10@140@36101@61;BS44.23+26.01;;;,2021,5,24,H02
18,64801,4553,60ab60474fce3476558f9f6c,1621844039317,352413080063513,9226101112454760,2021-05-24T08:13:59.317Z,::ffff:37.251.220.190,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;11:17:06;1;G;0;N44.455847;E26.073523;84.8;1.098;0;5100;8;1;2021-05-24;11:16:43;N44.455937;E26.073657;436;50;226@10@140@36101@55;BS44.23+26.01;;;,2021,5,24,H02
19,64802,4553,60ab62eb4fce3476558f9f7a,1621844715457,352413080063513,9226101112454760,2021-05-24T08:25:15.457Z,::ffff:37.251.220.190,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;11:28:22;1;G;0;N44.457645;E26.075485;79.8;1.627;0;5100;8;6;2021-05-24;11:17:06;N44.455847;E26.073523;765;50;226@10@140@16101@55;00;0;&;,2021,5,24,H02
20,64805,4553,60ab65924fce3476558f9f8a,1621845394537,352413080063513,9226101112454760,2021-05-24T08:36:34.537Z,::ffff:37.251.220.190,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;11:39:41;1;G;0;N44.456190;E26.074122;76.2;2.684;0;5100;7;6;2021-05-24;11:28:22;N44.457645;E26.075485;1250;50;226@10@140@16101@52;00;0;;,2021,5,24,H02
21,64814,4553,60ab76754fce3476558fa0e1,1621849717040,352413080063513,9226101112454760,2021-05-24T09:48:37.040Z,::ffff:37.251.221.245,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;12:51:43;1;G;0;N44.456476;E26.075119;129.5;2.560;0;5085;7;6;2021-05-24;11:39:41;N44.456190;E26.074122;1516;50;226@10@140@38121@63;00;0;7;,2021,5,24,H02
22,64816,4553,60ab7caa4fce3476558fa121,1621851306300,352413080063513,9226101112454760,2021-05-24T10:15:06.300Z,::ffff:93.122.251.171,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;13:18:13;1;G;0;N44.456300;E26.075195;116.8;2.113;0;5100;6;6;2021-05-24;12:51:43;N44.456476;E26.075119;1518;50;226@10@140@38121@61;00;0;I;,2021,5,24,H02
23,64818,4553,60ab7f704fce3476558fa13f,1621852016145,352413080063513,9226101112454760,2021-05-24T10:26:56.145Z,::ffff:109.166.137.86,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;13:30:03;1;G;0;N44.456193;E26.075299;115.3;2.189;0;5100;5;6;2021-05-24;13:18:12;N44.456300;E26.075195;1518;50;226@10@140@38121@63;00;0;C;,2021,5,24,H02
24,64819,4553,60ab822a4fce3476558fa154,1621852714206,352413080063513,9226101112454760,2021-05-24T10:38:34.206Z,::ffff:185.53.197.167,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;13:41:41;1;G;0;N44.456271;E26.075183;113.9;1.705;0;5100;6;6;2021-05-24;13:30:02;N44.456193;E26.075299;1518;50;226@10@140@38121@62;00;0;E;,2021,5,24,H02
25,64820,4553,60ab82454fce3476558fa15c,1621852741924,352413080063513,9226101112454760,2021-05-24T10:39:01.924Z,::ffff:109.166.139.254,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;13:42:00;1;G;0;N44.456273;E26.075058;110.7;2.066;0;5100;6;6;2021-05-24;13:41:40;N44.456271;E26.075183;1518;50;226@10@140@38121@61;00;0;R;,2021,5,24,H02
26,64821,4553,60ab825b4fce3476558fa160,1621852763165,352413080063513,9226101112454760,2021-05-24T10:39:23.165Z,::ffff:109.166.139.254,"#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;13:42:30;1;G;0;N44.456311;E26.075009;73.6;3.412;0;5100;6;6;2021-05-24;13:42:00;N44.456273;E26.075058;1518;50;226@10@140@38121@62;00;0;"";",2021,5,24,H02
27,64823,4553,60ab85684fce3476558fa17b,1621853544202,352413080063513,9226101112454760,2021-05-24T10:52:24.202Z,::ffff:109.166.139.194,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;13:55:31;1;G;0;N44.456341;E26.075547;181.4;0.384;0;5100;4;6;2021-05-24;13:42:30;N44.456311;E26.075009;1518;50;226@10@140@38121@62;00;0;N;,2021,5,24,H02
28,64824,4553,60ab886e4fce3476558fa18f,1621854318679,352413080063513,9226101112454760,2021-05-24T11:05:18.679Z,::ffff:93.122.250.36,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;14:08:25;1;G;0;N44.456352;E26.074971;94.0;1.791;0;5100;5;6;2021-05-24;13:55:31;N44.456341;E26.075547;1518;50;226@10@140@38121@61;00;0;;,2021,5,24,H02
29,64826,4553,60ab8bfb4fce3476558fa1ad,1621855227199,352413080063513,9226101112454760,2021-05-24T11:20:27.199Z,::ffff:93.122.248.192,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;14:23:34;1;G;0;N44.456466;E26.075333;116.0;2.525;0;5100;5;6;2021-05-24;14:08:25;N44.456352;E26.074971;1519;50;226@10@140@38121@63;00;0;?;,2021,5,24,H02
30,64828,4553,60ab8ea84fce3476558fa1b5,1621855912182,352413080063513,9226101112454760,2021-05-24T11:31:52.182Z,::ffff:93.122.248.192,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;14:34:59;1;G;0;N44.456484;E26.075480;131.5;1.271;0;5100;5;6;2021-05-24;14:23:34;N44.456466;E26.075333;1519;50;226@10@140@38121@63;00;0;8;,2021,5,24,H02
31,64830,4553,60ab9c314fce3476558fa384,1621859377008,352413080063513,9226101112454760,2021-05-24T12:29:37.008Z,::ffff:185.53.196.59,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;15:32:44;1;G;0;N44.456414;E26.074874;120.8;0.385;0;5087;6;6;2021-05-24;14:34:59;N44.456484;E26.075480;1519;50;226@10@140@38121@63;00;0;;,2021,5,24,H02
32,64831,4553,60ab9c4d4fce3476558fa388,1621859405343,352413080063513,9226101112454760,2021-05-24T12:30:05.343Z,::ffff:37.251.223.216,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;15:33:11;1;G;0;N44.456341;E26.075120;106.3;0.223;0;5086;5;6;2021-05-24;15:32:44;N44.456414;E26.074874;1519;50;226@10@140@38121@63;00;0;H;,2021,5,24,H02
33,64832,4553,60ab9c6d4fce3476558fa38c,1621859437341,352413080063513,9226101112454760,2021-05-24T12:30:37.341Z,::ffff:37.251.222.168,"#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;15:33:44;1;G;0;N44.456309;E26.075305;87.5;0.226;0;5086;5;6;2021-05-24;15:33:11;N44.456341;E26.075120;1519;50;226@10@140@38121@63;00;0;;",2021,5,24,H02
34,64833,4553,60ab9c924fce3476558fa391,1621859474119,352413080063513,9226101112454760,2021-05-24T12:31:14.119Z,::ffff:93.122.248.153,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;15:34:21;1;G;0;N44.456369;E26.075142;113.0;0.058;0;5086;6;6;2021-05-24;15:33:44;N44.456309;E26.075305;1519;50;226@10@140@38121@63;00;0;<;,2021,5,24,H02
35,64834,4553,60aba2854fce3476558fa438,1621860997381,352413080063513,9226101112454760,2021-05-24T12:56:37.381Z,::ffff:109.166.132.72,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;15:59:44;1;G;0;N44.456299;E26.074982;88.0;1.107;0;5079;6;6;2021-05-24;15:34:21;N44.456369;E26.075142;1519;50;226@10@140@38121@63;00;0;I;,2021,5,24,H02
36,64835,4553,60aba60e4fce3476558fa4a5,1621861902320,352413080063513,9226101112454760,2021-05-24T13:11:42.320Z,::ffff:109.166.133.26,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;16:14:49;1;G;0;N44.456419;E26.074971;114.2;3.406;0;5079;7;6;2021-05-24;15:59:44;N44.456299;E26.074982;1519;50;226@10@140@38121@63;00;0;;,2021,5,24,H02
37,64838,4553,60abad0b4fce3476558fa516,1621863691427,352413080063513,9226101112454760,2021-05-24T13:41:31.427Z,::ffff:109.166.129.250,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;16:44:38;1;G;0;N44.456195;E26.075265;98.5;0.470;0;4075;6;6;2021-05-24;16:14:49;N44.456419;E26.074971;1519;50;226@10@140@38121@63;00;0;D;,2021,5,24,H02
38,64839,4553,60abb33b4fce3476558fa5e8,1621865275301,352413080063513,9226101112454760,2021-05-24T14:07:55.301Z,::ffff:109.166.134.101,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;17:11:02;1;G;0;N44.455971;E26.075612;110.6;0.707;0;4070;5;6;2021-05-24;16:44:38;N44.456195;E26.075265;1519;50;226@10@140@38121@63;00;0;7;,2021,5,24,H02
39,64841,4553,60abc7374fce3476558fa8bb,1621870391718,352413080063513,9226101112454760,2021-05-24T15:33:11.718Z,::ffff:93.122.249.208,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;18:36:18;1;G;0;N44.456371;E26.074875;81.0;0.225;0;3052;5;6;2021-05-24;17:11:02;N44.455971;E26.075612;1519;50;226@10@140@38121@63;00;0;;,2021,5,24,H02
40,64842,4553,60abc74b4fce3476558fa8be,1621870411278,352413080063513,9226101112454760,2021-05-24T15:33:31.278Z,::ffff:93.122.249.208,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;18:36:38;1;G;0;N44.456365;E26.075039;100.5;0.979;0;3051;4;6;2021-05-24;18:36:17;N44.456371;E26.074875;1519;50;226@10@140@38121@63;00;0;;,2021,5,24,H02
41,64844,4553,60abca4f4fce3476558fa8d0,1621871183164,352413080063513,9226101112454760,2021-05-24T15:46:23.164Z,::ffff:109.166.137.42,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;18:49:29;1;G;0;N44.456227;E26.074708;49.8;0.493;0;3051;4;6;2021-05-24;18:36:37;N44.456365;E26.075039;1519;50;226@10@140@38121@63;00;0;F;,2021,5,24,H02
42,64849,4553,60abf8384fce3476558facf9,1621882936542,352413080063513,9226101112454760,2021-05-24T19:02:16.542Z,::ffff:109.166.130.173,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;22:05:23;1;G;0;N44.456145;E26.075219;120.4;6.193;134.56;2035;6;6;2021-05-24;18:49:29;N44.456227;E26.074708;1519;50;226@10@140@38121@62;00;0;\;,2021,5,24,H02
43,64850,4553,60abf84e4fce3476558facfc,1621882958984,352413080063513,9226101112454760,2021-05-24T19:02:38.984Z,::ffff:109.166.130.173,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;22:05:45;1;G;0;N44.456262;E26.075146;118.1;1.966;0;2035;6;6;2021-05-24;22:05:23;N44.456145;E26.075219;1519;50;226@10@140@38121@62;00;0;=;,2021,5,24,H02
44,64851,4553,60abfb504fce3476558fad44,1621883728681,352413080063513,9226101112454760,2021-05-24T19:15:28.681Z,::ffff:93.122.251.254,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;22:18:35;1;G;0;N44.456010;E26.075046;218.4;2.534;0;2035;4;6;2021-05-24;22:05:45;N44.456262;E26.075146;1519;50;226@10@140@38121@63;00;0;F;,2021,5,24,H02
45,64854,4553,60abfe254fce3476558fad70,1621884453726,352413080063513,9226101112454760,2021-05-24T19:27:33.726Z,::ffff:185.53.198.63,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;22:30:35;1;G;0;N44.456348;E26.074842;0;0;0;2035;6;6;2021-05-24;22:18:35;N44.456010;E26.075046;1519;50;226@10@140@38121@63;00;0;I;,2021,5,24,H02
46,64855,4553,60abfe4a4fce3476558fad75,1621884490163,352413080063513,9226101112454760,2021-05-24T19:28:10.163Z,::ffff:37.251.222.255,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;22:31:16;1;G;0;N44.456287;E26.075072;103.1;0.471;0;2035;6;6;2021-05-24;22:30:35;N44.456348;E26.074842;1519;50;226@10@140@38121@62;00;0;D;,2021,5,24,H02
47,64856,4553,60abfe534fce3476558fad78,1621884499365,352413080063513,9226101112454760,2021-05-24T19:28:19.365Z,::ffff:37.251.222.255,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;22:31:26;1;G;0;N44.456316;E26.075044;81.1;1.461;0;2035;6;6;2021-05-24;22:31:16;N44.456287;E26.075072;1519;50;226@10@140@38121@63;00;0;;,2021,5,24,H02
48,64859,4553,60ac01474fce3476558fad8f,1621885255759,352413080063513,9226101112454760,2021-05-24T19:40:55.759Z,::ffff:109.166.132.192,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;22:44:02;1;G;0;N44.456139;E26.075242;104.8;3.755;301.33;2035;5;6;2021-05-24;22:31:26;N44.456316;E26.075044;1519;50;226@10@140@38121@62;00;0;;,2021,5,24,H02
49,64860,4553,60ac015c4fce3476558fad92,1621885276301,352413080063513,9226101112454760,2021-05-24T19:41:16.301Z,::ffff:109.166.132.192,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;22:44:23;1;G;0;N44.456170;E26.075080;84.1;0.562;0;2035;5;6;2021-05-24;22:44:02;N44.456139;E26.075242;1519;50;226@10@140@38121@62;00;0;;,2021,5,24,H02
50,64862,4553,60ac04124fce3476558fad9b,1621885970448,352413080063513,9226101112454760,2021-05-24T19:52:50.448Z,::ffff:185.53.196.240,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;22:55:52;1;G;0;N44.456417;E26.074849;86.4;3.220;0;2035;5;6;2021-05-24;22:44:23;N44.456170;E26.075080;1519;50;226@10@140@38121@62;00;0;;,2021,5,24,H02
51,64863,4553,60ac04314fce3476558fad9f,1621886001382,352413080063513,9226101112454760,2021-05-24T19:53:21.382Z,::ffff:37.251.220.130,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;22:56:23;1;G;0;N44.456346;E26.074814;75.0;3.472;0;2035;6;6;2021-05-24;22:55:52;N44.456417;E26.074849;1519;50;226@10@140@38121@62;00;0;[;,2021,5,24,H02
52,64864,4553,60ac04444fce3476558fada2,1621886020204,352413080063513,9226101112454760,2021-05-24T19:53:40.204Z,::ffff:37.251.220.130,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;22:56:47;1;G;0;N44.456400;E26.074936;79.3;4.115;0;2035;5;6;2021-05-24;22:56:23;N44.456346;E26.074814;1519;50;226@10@140@38121@62;00;0;`;,2021,5,24,H02
53,64867,4553,60ac07b64fce3476558fadc3,1621886902264,352413080063513,9226101112454760,2021-05-24T20:08:22.264Z,::ffff:109.166.128.219,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;23:11:29;1;G;0;N44.456399;E26.074902;98.5;3.768;111.29;2035;6;6;2021-05-24;22:56:47;N44.456400;E26.074936;1519;50;226@10@140@38121@63;00;0;;,2021,5,24,H02
54,64868,4553,60ac07c94fce3476558fadc6,1621886921642,352413080063513,9226101112454760,2021-05-24T20:08:41.642Z,::ffff:109.166.128.219,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;23:11:48;1;G;0;N44.456343;E26.075028;89.8;3.595;0;2035;5;6;2021-05-24;23:11:29;N44.456399;E26.074902;1519;50;226@10@140@38121@62;00;0;S;,2021,5,24,H02
55,64870,4553,60ac0a9e4fce3476558fadd3,1621887646381,352413080063513,9226101112454760,2021-05-24T20:20:46.381Z,::ffff:109.166.139.243,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;23:23:48;1;G;0;N44.456340;E26.074947;96.9;2.897;0;2034;5;6;2021-05-24;23:11:48;N44.456343;E26.075028;1519;50;226@10@140@38121@63;00;0;Q;,2021,5,24,H02
56,64871,4553,60ac0ab04fce3476558fadd6,1621887664184,352413080063513,9226101112454760,2021-05-24T20:21:04.184Z,::ffff:109.166.139.243,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;23:24:11;1;G;0;N44.456379;E26.074940;92.6;5.716;109.85;2034;5;6;2021-05-24;23:23:48;N44.456340;E26.074947;1519;50;226@10@140@38121@62;00;0;;,2021,5,24,H02
57,64873,4553,60ac0dad4fce3476558fadee,1621888429201,352413080063513,9226101112454760,2021-05-24T20:33:49.201Z,::ffff:37.251.223.97,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;23:36:56;1;G;0;N44.456342;E26.074939;89.2;2.931;0;2034;7;6;2021-05-24;23:24:10;N44.456379;E26.074940;1519;50;226@10@140@38121@63;00;0;U;,2021,5,24,H02
58,64874,4553,60ac10814fce3476558fadfc,1621889153539,352413080063513,9226101112454760,2021-05-24T20:45:53.539Z,::ffff:109.166.134.250,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;23:48:57;1;G;0;N44.456318;E26.075035;93.6;1.373;0;2034;6;6;2021-05-24;23:36:56;N44.456342;E26.074939;1519;50;226@10@140@38121@63;00;0;R;,2021,5,24,H02
59,64877,4553,60ac20e14fce3476558fb031,1621893345660,352413080063513,9226101112454760,2021-05-24T21:55:45.660Z,::ffff:109.166.135.249,#@H02@#;352413080063513;9226101112454760;862182;2021-05-25;00:58:52;1;G;0;N44.456131;E26.075023;160.4;1.439;152.08;1021;6;6;2021-05-24;23:48:57;N44.456318;E26.075035;0;50;226@10@140@38121@62;00;0;I;,2021,5,24,H02
60,64880,4553,60ac27764fce3476558fb0a9,1621895030178,352413080063513,9226101112454760,2021-05-24T22:23:50.178Z,::ffff:93.122.249.247,#@H02@#;352413080063513;9226101112454760;862182;2021-05-25;01:26:56;1;G;0;N44.456307;E26.074991;113.9;6.777;284.71;1020;5;6;2021-05-25;00:58:52;N44.456131;E26.075023;0;50;226@10@140@38121@63;00;0;7;,2021,5,24,H02
61,64881,4553,60ac2a7b4fce3476558fb0be,1621895803440,352413080063513,9226101112454760,2021-05-24T22:36:43.440Z,::ffff:93.122.251.89,#@H02@#;352413080063513;9226101112454760;862182;2021-05-25;01:39:50;1;G;0;N44.456100;E26.075295;110.8;6.426;0;1020;5;6;2021-05-25;01:26:56;N44.456307;E26.074991;0;50;226@10@140@38121@62;00;0;;,2021,5,24,H02
62,64883,4553,60ac2daf4fce3476558fb0e8,1621896623325,352413080063513,9226101112454760,2021-05-24T22:50:23.325Z,::ffff:37.251.220.202,#@H02@#;352413080063513;9226101112454760;862182;2021-05-25;01:53:30;1;G;0;N44.456378;E26.074837;82.7;5.113;315.20;1020;5;6;2021-05-25;01:39:50;N44.456100;E26.075295;0;50;226@10@140@38121@62;00;0;;,2021,5,24,H02
63,64884,4553,60ac2dc34fce3476558fb0eb,1621896643606,352413080063513,9226101112454760,2021-05-24T22:50:43.606Z,::ffff:37.251.220.202,#@H02@#;352413080063513;9226101112454760;862182;2021-05-25;01:53:50;1;G;0;N44.456356;E26.074993;88.8;1.828;0;1020;6;6;2021-05-25;01:53:29;N44.456378;E26.074837;0;50;226@10@140@38121@62;00;0;$;,2021,5,24,H02
64,64885,4553,60acb16f4fce3476558fb263,1621930351595,352413080063513,9226101112454760,2021-05-25T08:12:31.595Z,::ffff:109.166.134.145,#@H02@#;352413080063513;9226101112454760;862182;2021-05-25;11:15:38;1;G;0;N44.456550;E26.074549;88.6;2.241;0;5100;8;1;2021-05-25;11:15:38;N44.456550;E26.074549;530;50;226@10@140@16101@51;BS44.23+26.01;;;,2021,5,25,H02
65,64886,4553,60acb19c4fce3476558fb265,1621930396276,352413080063513,9226101112454760,2021-05-25T08:13:16.276Z,::ffff:109.166.134.145,#@H02@#;352413080063513;9226101112454760;862182;2021-05-25;11:16:23;1;G;0;N44.456770;E26.074804;83.4;2.777;0;5100;7;1;2021-05-25;11:15:38;N44.456550;E26.074549;572;50;226@10@140@16101@51;0S44.23+26.01;;;,2021,5,25,H02
66,64887,4553,60acb1d84fce3476558fb267,1621930456756,352413080063513,9226101112454760,2021-05-25T08:14:16.756Z,::ffff:109.166.134.145,#@H02@#;352413080063513;9226101112454760;862182;2021-05-25;11:17:23;1;G;0;N44.457096;E26.074865;90.5;2.017;0;5100;7;1;2021-05-25;11:16:22;N44.456770;E26.074804;613;50;226@10@140@16101@54;0S44.23+26.01;;+;,2021,5,25,H02
67,64888,4553,60acb2144fce3476558fb26d,1621930516834,352413080063513,9226101112454760,2021-05-25T08:15:16.834Z,::ffff:109.166.134.145,#@H02@#;352413080063513;9226101112454760;862182;2021-05-25;11:18:23;1;G;0;N44.457410;E26.075145;88.5;4.125;0;5100;7;1;2021-05-25;11:17:23;N44.457096;E26.074865;633;50;226@10@140@16101@255;0S44.23+26.01;;W;,2021,5,25,H02
68,64889,4553,60acb2534fce3476558fb26f,1621930579156,352413080063513,9226101112454760,2021-05-25T08:16:19.156Z,::ffff:109.166.134.145,#@H02@#;352413080063513;9226101112454760;862182;2021-05-25;11:19:25;1;G;0;N44.457637;E26.075357;87.5;1.618;0;5100;6;1;2021-05-25;11:18:23;N44.457410;E26.075145;664;50;226@10@140@16101@44;0S44.23+26.01;;;,2021,5,25,H02
